gene	Mean_Feature_Posterior	CPDwd	CPDwd_stderr	CPDwd_min	CPDwd_q25	CPDwd_q75	CPDwd_p_val	CPDwd_p_adjust	CPDwd_signif	Droso_gene_name	PrimaryFBgn
g4178	0.845	0.053243133	0.000408158	0.052565431	0.050598056	0.055780758	6.83E-113	3.13E-110	sig	FD3	FBgn0004896
g2300	0.825	0.025124388	0.000248704	0.024711443	0.023579044	0.026562781	5.54E-102	2.54E-99	sig	Q7JWV7	FBgn0029507
g344	1	0.029156823	0.000296147	0.028665103	0.027333042	0.031394041	6.91E-101	3.17E-98	sig	Q9VCJ4	FBgn0051148
g260	0.91	0.027258184	0.000277031	0.026798204	0.025142519	0.029348721	7.34E-101	3.37E-98	sig	Q9VLA3	FBgn0032132
g11587	0.98	0.03926066	0.000409508	0.038580717	0.036424399	0.041832903	9.33E-100	4.28E-97	sig	Q9V3U1	FBgn0040397
g8731	0.97	0.037467562	0.000394959	0.036811775	0.034826277	0.039822787	2.63E-99	1.21E-96	sig	Q9VHY7	FBgn0260005
g1844	0.936666667	0.028798358	0.000303756	0.028294004	0.027118425	0.030535205	2.79E-99	1.28E-96	sig	Q9VSU2	FBgn0023479
g5214	0.814050633	0.023845728	0.000258835	0.023415961	0.022108154	0.02559085	4.62E-98	2.12E-95	sig	A0A0B4LH22	FBgn0037989
g14316	0.892	0.013586979	0.000166095	0.013311197	0.012317581	0.014599697	5.12E-93	2.35E-90	sig	M9PHC2	FBgn0035501
g1365	0.834	0.021776792	0.000274739	0.021320619	0.020027019	0.023972594	1.11E-91	5.09E-89	sig	A0A0B4KGI5	FBgn0000024
g10685	0.788	0.012330324	0.000155827	0.01207159	0.011447968	0.0132745	1.31E-91	6.01E-89	sig	Q9VR32	FBgn0031634
g4117	0.789285714	0.024829542	0.000317559	0.02430227	0.022521909	0.027102108	4.19E-91	1.93E-88	sig	ELOA1	FBgn0039066
g11725	0.751428571	0.021846482	0.000281744	0.021378677	0.020224188	0.023353951	9.44E-91	4.33E-88	sig	Q9VR32	FBgn0031634
g3220	0.848333333	0.016240964	0.000209916	0.015892421	0.014636521	0.017589153	1.17E-90	5.38E-88	sig	Q9VN77	FBgn0037293
g1198	0.804583333	0.019508049	0.00025246	0.019088866	0.017642825	0.021113486	1.32E-90	6.08E-88	sig	M9PBH6	FBgn0025525
g10332	0.93	0.028293797	0.00037282	0.02767477	0.025511637	0.031057387	7.66E-90	3.52E-87	sig	BIP	FBgn0001218
g11768	0.75	0.018431948	0.000242921	0.018028604	0.016657897	0.019867186	7.81E-90	3.58E-87	sig	Q9VB73	FBgn0039489
g4361	0.845	0.036070076	0.000480727	0.035271881	0.033113365	0.039653318	2.32E-89	1.06E-86	sig	Q9VK10	FBgn0284244
g8783	0.783333333	0.024512891	0.000328855	0.023966863	0.022552199	0.026438008	4.40E-89	2.02E-86	sig	M9PFW2	FBgn0037085
g666	0.84	0.014216543	0.000193119	0.01389589	0.012877297	0.015496191	1.48E-88	6.80E-86	sig	Q0E8H9	FBgn0041630
g14135	0.838333333	0.020807171	0.000286175	0.020332009	0.01885041	0.022717582	4.95E-88	2.27E-85	sig	A0A0B4LHR3	FBgn0039338
g11881	0.855	0.026934249	0.000378621	0.02630559	0.024808555	0.029633166	4.13E-87	1.89E-84	sig	M9ND95	FBgn0264695
g3472	0.8	0.021700536	0.000307681	0.021189665	0.019434737	0.023803665	9.50E-87	4.36E-84	sig	PYX	FBgn0035113
g11138	0.836666667	0.015507194	0.000222668	0.015137478	0.014330301	0.016979069	3.24E-86	1.49E-83	sig	G3P2	FBgn0001092
g7213	0.987096774	0.014554173	0.000213588	0.014199534	0.012984723	0.01590874	2.69E-85	1.23E-82	sig	CANB	FBgn0025866
g1770	1	0.026233496	0.00038574	0.025593018	0.023365283	0.028357071	3.25E-85	1.49E-82	sig	CHIT2	FBgn0022702
g1578	0.8275	0.012914157	0.00019139	0.012596375	0.011662795	0.014157127	6.96E-85	3.19E-82	sig	CALM	FBgn0000253
g12931	0.96	0.012232356	0.000182388	0.01192952	0.010954833	0.013238926	1.25E-84	5.75E-82	sig	IFT57	FBgn0031550
g1557	0.76	0.016878087	0.000252878	0.016458211	0.015143372	0.018269386	2.00E-84	9.19E-82	sig	A8JRD0	FBgn0066101
g14037	0.91	0.029388728	0.000441378	0.028655868	0.027327342	0.032075921	2.52E-84	1.16E-81	sig	Q8IQM9	FBgn0263607
g14036	0.973333333	0.029569816	0.000453398	0.028816999	0.026975562	0.031391271	1.88E-83	8.62E-81	sig	Q8T0E7	FBgn0036305
g3107	0.9	0.013014713	0.000199691	0.012683148	0.011456559	0.014369641	2.00E-83	9.20E-81	sig	Q8IQS9	FBgn0036789
g12018	0.755	0.036400071	0.000567218	0.035458267	0.032318226	0.040105546	8.96E-83	4.11E-80	sig	DRICE	FBgn0019972
g10705	0.99	0.021140076	0.000331358	0.020589893	0.018801143	0.023725544	1.58E-82	7.25E-80	sig	M9NF89	FBgn0005411
g11943	0.930833333	0.010715905	0.000170309	0.010433125	0.009557525	0.011990631	6.02E-82	2.77E-79	sig	Q9XZS5	FBgn0025837
g7465	0.831111111	0.012276068	0.000196209	0.011950285	0.010894701	0.013850498	1.04E-81	4.77E-79	sig	NCDN	FBgn0037447
g2242	0.809230769	0.012682792	0.000202861	0.012345964	0.011334797	0.014162146	1.12E-81	5.13E-79	sig	Q9W1J0	FBgn0034911
g8912	0.852307692	0.01442309	0.000231558	0.014038613	0.012809661	0.016089681	1.60E-81	7.34E-79	sig	ARM	FBgn0000117
g7825	0.8925	0.01374632	0.000221181	0.013379073	0.012441484	0.015285956	1.98E-81	9.09E-79	sig	Q9W1L8	FBgn0034887
g5124	0.985	0.014353196	0.00023391	0.013964814	0.012924636	0.01574202	6.78E-81	3.11E-78	sig	CP303	FBgn0001992
g13704	0.88	0.024827096	0.000407843	0.024149916	0.021891708	0.027400533	1.47E-80	6.73E-78	sig	Q7K485	FBgn0029093
g6689	0.930833333	0.011420321	0.000187647	0.011108753	0.010247159	0.012703642	1.50E-80	6.87E-78	sig	IR93A	FBgn0259215
g9811	0.774444444	0.019853912	0.000326675	0.019311504	0.017520571	0.021459342	1.71E-80	7.86E-78	sig	A0A0B4JDA7	FBgn0035049
g1876	0.972650602	0.011924949	0.000196264	0.011599075	0.010555711	0.013155234	1.76E-80	8.06E-78	sig	M9PEI1	FBgn0053196
g5618	0.975	0.010346762	0.00017036	0.010063898	0.009138649	0.011480216	1.83E-80	8.39E-78	sig	Q9V491	FBgn0025741
g8334	0.788333333	0.014389582	0.000238493	0.01399359	0.012617646	0.015653315	3.45E-80	1.59E-77	sig	Q9VZ57	FBgn0030245
g2993	0.9	0.007433387	0.000124682	0.007226366	0.006577464	0.008158425	1.09E-79	5.01E-77	sig	Q9I7S4	FBgn0265597
g12620	0.885641026	0.006871746	0.000115473	0.006680016	0.006101785	0.007553019	1.30E-79	5.98E-77	sig	Q9VJW1	FBgn0028538
g3562	0.85	0.012699766	0.000214079	0.012344311	0.011227993	0.014353447	1.76E-79	8.10E-77	sig	PERO	FBgn0004577
g11990	1	0.017923414	0.000305767	0.017415721	0.015941382	0.019735527	5.58E-79	2.56E-76	sig	Q8MZG9	FBgn0033203
g6999	0.837254902	0.013455053	0.000231012	0.013071483	0.011592733	0.015149839	1.03E-78	4.74E-76	sig	INT8	FBgn0025830
g9560	0.87175	0.027069129	0.000469315	0.026289883	0.023201051	0.02981716	2.64E-78	1.21E-75	sig	EFR3	FBgn0086784
g13843	0.772222222	0.011649983	0.000205329	0.011309057	0.010447595	0.01301773	1.28E-77	5.88E-75	sig	ITA5	FBgn0034880
g2518	0.965294118	0.013382737	0.000238008	0.012987551	0.012142774	0.014923228	3.05E-77	1.40E-74	sig	Q9V4E5	FBgn0025936
g12056	0.98	0.006181785	0.000110971	0.00599753	0.005314775	0.006968868	7.47E-77	3.43E-74	sig	Q9VGH2	FBgn0037956
g3310	0.844	0.008001101	0.00014634	0.007758119	0.007079026	0.009006885	4.48E-76	2.06E-73	sig	Q8SYL2	FBgn0003386
